"Competition_Name","Gender","Country","Season_End_Year","Round","Wk","Day","Date","Time","Home","HomeGoals","Away","AwayGoals","Attendance","Venue","Referee","Notes","MatchURL","Home_xG","Away_xG"
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","1","Thu",2023-03-23,"19:45","Portugal pt",4,"li Liechtenstein",0,45378,"Estádio José Alvalade","Espen Andreas Eskås","","https://fbref.com/en/matches/f4700be9/Portugal-Liechtenstein-March-23-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","1","Thu",2023-03-23,"20:45","Denmark dk",3,"fi Finland",1,35851,"Parken","Daniel Siebert","","https://fbref.com/en/matches/287ad346/Denmark-Finland-March-23-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","1","Thu",2023-03-23,"20:45","Bosnia & Herz'na ba",3,"is Iceland",0,9234,"Stadion Bilino Polje","Donatas Rumšas","","https://fbref.com/en/matches/537f08be/Bosnia-and-Herzegovina-Iceland-March-23-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","1","Thu",2023-03-23,"20:45","Italy it",1,"eng England",2,44536,"Stadio Diego Armando Maradona","Srđan Jovanović","","https://fbref.com/en/matches/64af7b32/Italy-England-March-23-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","1","Thu",2023-03-23,"20:45","San Marino sm",0,"nir Northern Ireland",2,2099,"San Marino Stadium","Gergő Bogár","","https://fbref.com/en/matches/82c9473a/San-Marino-Northern-Ireland-March-23-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","1","Thu",2023-03-23,"20:45","Slovakia sk",0,"lu Luxembourg",0,3523,"City Arena Trnava","Rade Obrenović","","https://fbref.com/en/matches/882573bd/Slovakia-Luxembourg-March-23-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","1","Thu",2023-03-23,"20:45","N. Macedonia mk",2,"mt Malta",1,9997,"Nationala Arena Toše Proeski","Kristo Tohver","","https://fbref.com/en/matches/b0a5ae97/North-Macedonia-Malta-March-23-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","1","Thu",2023-03-23,"21:00","Kazakhstan kz",1,"si Slovenia",2,27122,"Astana Arena","Glenn Nyberg","","https://fbref.com/en/matches/2ecc3d6b/Kazakhstan-Slovenia-March-23-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","1","Fri",2023-03-24,"19:00","Bulgaria bg",0,"me Montenegro",1,9180,"Huvepharma Arena","Əliyar Ağayev","","https://fbref.com/en/matches/1e454af1/Bulgaria-Montenegro-March-24-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","1","Fri",2023-03-24,"19:45","Gibraltar gi",0,"gr Greece",3,390,"Estádio Algarve","Rohit Saggi","","https://fbref.com/en/matches/e3779236/Gibraltar-Greece-March-24-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","1","Fri",2023-03-24,"20:45","Austria at",4,"az Azerbaijan",1,16500,"Raiffeisen Arena","Bartosz Frankowski","","https://fbref.com/en/matches/18788178/Austria-Azerbaijan-March-24-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","1","Fri",2023-03-24,"20:45","Sweden se",0,"be Belgium",3,49296,"Friends Arena","Orel Grinfeeld","","https://fbref.com/en/matches/1c47dc70/Sweden-Belgium-March-24-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","1","Fri",2023-03-24,"20:45","Serbia rs",2,"lt Lithuania",0,21125,"Stadion Rajko Mitić","Lawrence Visser","","https://fbref.com/en/matches/9a3a9ee9/Serbia-Lithuania-March-24-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","1","Fri",2023-03-24,"20:45","France fr",4,"nl Netherlands",0,77328,"Stade de France","Maurizio Mariani","","https://fbref.com/en/matches/cc045e88/France-Netherlands-March-24-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","1","Fri",2023-03-24,"20:45","Czechia cz",3,"pl Poland",1,19045,"Fortuna Arena","Anastasios Sidiropoulos","","https://fbref.com/en/matches/f97c6552/Czechia-Poland-March-24-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","1","Fri",2023-03-24,"21:45","Moldova md",1,"fo Faroe Islands",1,4732,"Stadionul Zimbru","Nick Walsh","","https://fbref.com/en/matches/29630a8f/Moldova-Faroe-Islands-March-24-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","1","Sat",2023-03-25,"14:00","Scotland sct",3,"cy Cyprus",0,48195,"Hampden Park","Duje Strukan","","https://fbref.com/en/matches/cc9a126a/Scotland-Cyprus-March-25-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","1","Sat",2023-03-25,"18:00","Belarus by",0,"ch Switzerland",5,NA,"Stadion Karađorđe","Alejandro Hernández","","https://fbref.com/en/matches/4c992559/Belarus-Switzerland-March-25-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","1","Sat",2023-03-25,"20:00","Israel il",1,"xk Kosovo",1,28935,"Bloomfield Stadium","William Collum","","https://fbref.com/en/matches/373d431a/Israel-Kosovo-March-25-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","1","Sat",2023-03-25,"20:45","Croatia hr",1,"wls Wales",1,33474,"Gradski stadion u Poljudu","João Pinheiro","","https://fbref.com/en/matches/41756f7f/Croatia-Wales-March-25-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","1","Sat",2023-03-25,"20:45","Spain es",3,"no Norway",0,29214,"Estadio La Rosaleda","Benoît Bastien","","https://fbref.com/en/matches/4a800e3f/Spain-Norway-March-25-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","1","Sat",2023-03-25,"20:45","Andorra ad",0,"ro Romania",2,2927,"Estadi Nacional","Dario Bel","","https://fbref.com/en/matches/6d4f2f12/Andorra-Romania-March-25-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","1","Sat",2023-03-25,"21:00","Armenia am",1,"tr Türkiye",2,14125,"Vazgen Sargsyan anvan Hanrapetakan Marza...","José Sánchez","","https://fbref.com/en/matches/923bf4b3/Armenia-Turkiye-March-25-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","10","Sun",2023-11-19,"15:00","Hungary hu",3,"me Montenegro",1,59600,"Puskás Aréna","Danny Makkelie","","https://fbref.com/en/matches/a337b2d6/Hungary-Montenegro-November-19-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","10","Sun",2023-11-19,"15:00","Serbia rs",2,"bg Bulgaria",2,7325,"Stadion Dubočica","Erik Lambrechts","","https://fbref.com/en/matches/f6edf05d/Serbia-Bulgaria-November-19-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","10","Sun",2023-11-19,"18:00","Sweden se",2,"ee Estonia",0,11201,"Friends Arena","Fabio Maresca","","https://fbref.com/en/matches/49348035/Sweden-Estonia-November-19-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","10","Sun",2023-11-19,"18:00","Belgium be",5,"az Azerbaijan",0,30276,"Stade Roi Baudouin","Gergő Bogár","","https://fbref.com/en/matches/9bab8d00/Belgium-Azerbaijan-November-19-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","10","Sun",2023-11-19,"19:45","Scotland sct",3,"no Norway",3,48138,"Hampden Park","Horațiu Fesnic","","https://fbref.com/en/matches/376c8c83/Scotland-Norway-November-19-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","10","Sun",2023-11-19,"19:45","Portugal pt",2,"is Iceland",0,45655,"Estádio José Alvalade","Anastasios Papapetrou","","https://fbref.com/en/matches/adf2f1dc/Portugal-Iceland-November-19-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","10","Sun",2023-11-19,"20:45","Liechtenstein li",0,"lu Luxembourg",1,2241,"Rheinpark Stadion","Stéphanie Frappart","","https://fbref.com/en/matches/59024b43/Liechtenstein-Luxembourg-November-19-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","10","Sun",2023-11-19,"20:45","Bosnia & Herz'na ba",1,"sk Slovakia",2,3800,"Stadion Bilino Polje","Julian Weinberger","","https://fbref.com/en/matches/a217215a/Bosnia-and-Herzegovina-Slovakia-November-19-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","10","Sun",2023-11-19,"20:45","Spain es",3,"ge Georgia",1,24146,"Estadio Municipal José Zorrilla","Ovidiu Hațegan","","https://fbref.com/en/matches/d0538cf2/Spain-Georgia-November-19-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","10","Mon",2023-11-20,"19:45","Northern Ireland nir",2,"dk Denmark",0,17366,"Windsor Park","Jérôme Brisard","","https://fbref.com/en/matches/7ffa704a/Northern-Ireland-Denmark-November-20-2023-UEFA-Euro-Qualifying",NA,NA
