"Home","HomeGoals","AwayGoals","Away","Date","Competition_Name","MatchURL"
"Denmark",3,1,"Finland","2023-03-23","UEFA European Football Championship Qualifying","https://fbref.com/en/matches/287ad346/Denmark-Finland-March-23-2023-UEFA-Euro-Qualifying"
"Italy",1,2,"England","2023-03-23","UEFA European Football Championship Qualifying","https://fbref.com/en/matches/64af7b32/Italy-England-March-23-2023-UEFA-Euro-Qualifying"
"Sweden",0,3,"Belgium","2023-03-24","UEFA European Football Championship Qualifying","https://fbref.com/en/matches/1c47dc70/Sweden-Belgium-March-24-2023-UEFA-Euro-Qualifying"
"France",4,0,"Netherlands","2023-03-24","UEFA European Football Championship Qualifying","https://fbref.com/en/matches/cc045e88/France-Netherlands-March-24-2023-UEFA-Euro-Qualifying"
"Czech Republic",3,1,"Poland","2023-03-24","UEFA European Football Championship Qualifying","https://fbref.com/en/matches/f97c6552/Czechia-Poland-March-24-2023-UEFA-Euro-Qualifying"
"Croatia",1,1,"Wales","2023-03-25","UEFA European Football Championship Qualifying","https://fbref.com/en/matches/41756f7f/Croatia-Wales-March-25-2023-UEFA-Euro-Qualifying"
"Spain",3,0,"Norway","2023-03-25","UEFA European Football Championship Qualifying","https://fbref.com/en/matches/4a800e3f/Spain-Norway-March-25-2023-UEFA-Euro-Qualifying"
"Scotland",3,3,"Norway","2023-11-19","UEFA European Football Championship Qualifying","https://fbref.com/en/matches/376c8c83/Scotland-Norway-November-19-2023-UEFA-Euro-Qualifying"
"Ukraine",0,0,"Italy","2023-11-20","UEFA European Football Championship Qualifying","https://fbref.com/en/matches/18b09385/Ukraine-Italy-November-20-2023-UEFA-Euro-Qualifying"
"Wales",1,1,"Turkey","2023-11-21","UEFA European Football Championship Qualifying","https://fbref.com/en/matches/369b2704/Wales-Turkiye-November-21-2023-UEFA-Euro-Qualifying"
"England",2,0,"Ukraine","2023-03-26","UEFA European Football Championship Qualifying","https://fbref.com/en/matches/275ada90/England-Ukraine-March-26-2023-UEFA-Euro-Qualifying"
"Scotland",2,0,"Spain","2023-03-28","UEFA European Football Championship Qualifying","https://fbref.com/en/matches/1a041b62/Scotland-Spain-March-28-2023-UEFA-Euro-Qualifying"
